 dot, dash,0,0,0,//,A
 dash, dot, dot, dot,0,//,B
 dash, dot, dash, dot,0,//,C
 dash, dot, dot,0,0,//,D
 dot,0,0,0,0,//,E
 dot, dot, dash, dot,0,//,F
 dash, dash, dot,0,0,//,G
 dot, dot, dot, dot,0,//,H
 dot, dot,0,0,0,//,I
 dot, dash, dash, dash,0,//,J
 dash, dot, dash,0,0,//,K
 dot, dash, dot, dot,0,//,L
 dash, dash,0,0,0,//,M
 dash, dot,0,0,0,//,N
 dash, dash, dash,0,0,//,O
 dot, dash, dash, dot,0,//,P
 dash, dash, dot, dash,0,//,Q
 dot, dash, dot,0,0,//,R
 dot, dot, dot,0,0,//,S
 dash,0,0,0,0,//,T
 dot, dot, dash,0,0,//,U
 dot, dot, dot, dash,0,//,V
 dot, dash, dash,0,0,//,W
 dash, dot, dot, dash,0,//,X
 dash, dot, dash, dash,0,//,Y
 dash, dash, dot, dot,0,//,Z
